INSERT INTO loggers
('first_name','last_name','state','zip','country','gender','birthdate'),
VALUES 
('Audrey','BROWN','PA','78771','US','Female','1966-09-19'),
('Eric','EDWARDS','','00000','Germany','Male','1969-05-06'),
('Christin','EVANS','','00000','UK','Female','1966-07-19'),
('Britney','SMITH','','00000','Japan','Female','1935-03-03'),
('Jasmin','STEWART','','00000','Russia','Female','1929-02-17'),
('Ann','LANDRY','','00000','Japan','Female','1947-12-26'),
('Rachel','RODRIGUEZ','','00000','UK','Female','1973-03-12'),
('Selina','WATSON','','00000','France','Female','1987-12-22'),
('Elizabet','LEONARD','','00000','China','Female','1922-12-01'),
('Cheyenne','HALL','','00000','South Africa','Female','1981-04-14'),
('Tatiana','RUSH','','00000','Japan','Female','1983-12-27'),
('Megan','VARGAS','','00000','South Africa','Female','1941-08-10'),
('Jordan','WHITE','','00000','South Africa','Female','1981-08-12'),
('Emily','MOODY','','00000','Canada','Female','1984-07-28'),
('Rachel','FARRELL','','00000','France','Female','1926-09-26'),
('Tanisha','JOHNSON','','00000','Germany','Female','1945-12-20'),
('Rachel','LARSON','','00000','China','Female','1984-11-24'),
('Jasmin','VAUGHN','','00000','Canada','Female','1968-11-26'),
('Olive','JONES','','00000','South Africa','Female','1932-04-21'),
('Caroline','HERNANDEZ','','00000','Germany','Female','1992-01-17'),
('Milicent','ANDERSON','','00000','France','Female','1930-06-23'),
('Megan','DUNLAP','','00000','France','Female','1955-05-04'),
('Richard','MILLER','IN','65319','US','Male','1950-05-28'),
('Joseph','SOLOMON','OH','87298','US','Male','1975-07-28'),
('Ethan','HINES','CO','36247','US','Male','1941-09-16'),
('Emily','BALL','','00000','France','Female','1952-02-25'),
('Stephen','HOLLAND','PA','88527','US','Male','1968-04-05'),
('Emanuel','CHOI','TN','32377','US','Male','1990-03-12'),
('Nicholas','MORALES','ID','39947','US','Male','1953-10-07'),
('Manuel','PENA','NC','35975','US','Male','1953-03-08'),
('Trevor','MCINTOSH','NV','58181','US','Male','1954-02-15'),
('Logan','GIBSON','MA','49907','US','Male','1948-06-01'),
('William','GRIFFIN','NJ','99290','US','Male','1972-06-24'),
('Andrew','GARCIA','CT','85874','US','Male','1952-06-04'),
('Theodore','CHAMBERS','WV','60747','US','Male','1982-04-28'),
('Miguel','BARNES','RI','10463','US','Male','1944-10-26'),
('Kameron','FLEMING','CA','62970','US','Male','1951-12-03'),
('Daren','JOHNSON','NH','80999','US','Male','1957-12-14'),
('Paul','HULL','MD','50725','US','Male','1923-02-01'),
('Ernest','LESTER','MS','13897','US','Male','1947-03-03'),
('Dean','SHIELDS','IA','19005','US','Male','1982-01-01'),
('Dillon','ROGERS','VT','50450','US','Male','1963-10-15'),
('Jacob','GEORGE','DC','35574','US','Male','1990-04-15'),
('Armand','LEWIS','MS','40169','US','Male','1964-11-12'),
('Nicholas','REYNOLDS','OH','82799','US','Male','1964-08-29'),
('Jacob','NOLAN','NC','10554','US','Male','1943-04-23'),
('Max','DIAZ','CT','61077','US','Male','1963-11-10'),
('Pedro','ROY','VT','54402','US','Male','1951-11-03'),
('Theodore','BOYER','MN','65718','US','Male','1965-07-01'),
('Andrew','MOYER','MD','45425','US','Male','1974-08-21'),
('Ryan','ANDERSON','IA','87851','US','Male','1966-01-15'),
('William','BOYLE','MO','34045','US','Male','1973-04-04'),
('Brenden','KRAMER','ND','54668','US','Male','1981-02-14'),
('Joseph','BOYLE','NH','80684','US','Male','1985-08-20'),
('Joseph','WRIGHT','AK','97055','US','Male','1983-01-02'),
('Eduardo','HEBERT','TX','71140','US','Male','1989-10-08'),
('Scott','LLOYD','CA','79728','US','Male','1931-09-06'),
('Michael','BARKER','HI','56263','US','Male','1976-02-24'),
('Anthony','HART','WA','40181','US','Male','1992-05-14'),
('Marco','HART','NC','12317','US','Male','1931-04-24'),
('Lance','JOHNSON','MN','19585','US','Male','1933-09-25'),
('Alejandr','OLSON','NY','29693','US','Male','1993-05-03'),
('Daniel','WILLIAMS','DC','12121','US','Male','1951-08-16'),
('Alice','MILLER','','00000','UK','Female','1990-05-15'),
('Justin','WEBB','KS','31022','US','Male','1939-01-22'),
('Chase','GIBSON','ID','66762','US','Male','1932-06-05'),
('Bradley','WARD','MS','19297','US','Male','1934-01-01'),
('Donte','ADAMS','MO','12893','US','Male','1953-05-10'),
('John','COOPER','MO','81530','US','Male','1955-01-04'),
('Christop','ADAMS','TX','42733','US','Male','1936-03-27'),
('Jacob','RAMOS','ND','18560','US','Male','1924-06-07'),
('Alexande','BUTLER','ND','75396','US','Male','1962-03-16'),
('Robert','SCOTT','IA','46444','US','Male','1951-03-09'),
('Logan','JONES','AZ','31394','US','Male','1942-09-14'),
('Robert','DURAN','LA','68412','US','Male','1939-09-03'),
('Alexande','BAKER','TN','63488','US','Male','1989-05-31'),
('William','SMITH','ID','91498','US','Male','1955-03-16'),
('Austin','STEVENS','OH','59440','US','Male','1971-05-21'),
('Carlos','GRANT','MO','31239','US','Male','1932-03-30'),
('John','SMITH','WV','80293','US','Male','1990-09-26'),
('Christop','JONES','NC','52929','US','Male','1981-08-20'),
('Jacob','PENA','LA','61136','US','Male','1959-11-15'),
('Matthew','SCOTT','HI','16570','US','Male','1980-04-06'),
('Alexande','WARNER','SD','37301','US','Male','1928-10-23'),
('Robert','MEDINA','ID','55844','US','Male','1954-01-25'),
('Ryan','CURTIS','WI','90611','US','Male','1967-04-01'),
('Joseph','MOORE','MD','97303','US','Male','1962-09-16'),
('Demetriu','GALVAN','WY','41839','US','Male','1956-11-05'),
('Carlos','ANDERSON','WI','23391','US','Male','1972-04-04'),
('John','GRAHAM','IL','54056','US','Male','1937-12-06'),
('Brandon','WILLIAMSON','VT','91136','US','Male','1974-02-25'),
('John','WALTERS','WY','61095','US','Male','1967-01-25'),
('Adam','CARSON','LA','64055','US','Male','1952-05-22'),
('Tanner','DELGADO','TN','20638','US','Male','1963-06-24'),
('Alexande','RICHARDSON','DE','67778','US','Male','1985-10-10'),
('Travis','WEBER','DC','87379','US','Male','1938-12-23'),
('Alexande','SANCHEZ','AZ','80983','US','Male','1993-08-25'),
('Michael','MONROE','WV','15371','US','Male','1967-12-08'),
('Taylor','WEBB','AZ','50454','US','Male','1994-01-03'),
('Mitchell','VARGAS','MN','66869','US','Male','1931-09-27'),
('Alexande','JOHNSON','UT','19357','US','Male','1922-10-01'),
('Diego','HARRIS','AL','51070','US','Male','1965-03-27'),
('Josuah','BENNETT','HI','88462','US','Male','1962-09-30'),
('James','GRAVES','KY','51400','US','Male','1953-02-02'),
('Kyle','HENDERSON','KS','26679','US','Male','1931-12-05'),
('Garrett','MOORE','TN','56290','US','Male','1967-09-14'),
('Frank','MARSHALL','ME','82733','US','Male','1934-01-30'),
('Ty','CHAPMAN','WA','92212','US','Male','1943-03-16'),
('John','WASHINGTON','MD','52633','US','Male','1953-07-07'),
('Joseph','HARRISON','AZ','47269','US','Male','1937-03-18'),
('Ramon','ROBINSON','TX','91689','US','Male','1945-05-11'),
('Kelvin','HAYS','AK','75614','US','Male','1933-04-19'),
('Kyle','HO','','00000','UK','Male','1957-09-27'),
('Robert','RICHARDSON','DE','60928','US','Male','1959-03-15'),
('Edward','KING','CA','63542','US','Male','1950-05-19'),
('James','OLSON','WY','48949','US','Male','1966-04-11'),
('Jordan','NEWTON','MD','32024','US','Male','1947-08-29'),
('Zachary','VALENZUELA','NV','25412','US','Male','1929-10-14'),
('Matthew','AUSTIN','AK','62162','US','Male','1961-11-13'),
('Jacob','RIVERA','MA','22163','US','Male','1990-07-29'),
('Roman','GALLEGOS','PA','70281','US','Male','1977-01-21'),
('Jerry','STOUT','SC','72987','US','Male','1950-08-09'),
('Josuah','KHAN','MN','79242','US','Male','1993-09-19'),
('David','SMITH','AK','69214','US','Male','1929-03-03'),
('John','YOUNG','MI','10238','US','Male','1993-02-04'),
('Preston','GREEN','TN','38223','US','Male','1958-09-24'),
('Thomas','BROWN','SC','81832','US','Male','1939-10-19'),
('Charles','BAKER','ME','97271','US','Male','1944-06-07'),
('Alexande','ORTEGA','KY','31701','US','Male','1978-05-29'),
('Gilbert','PERRY','RI','66653','US','Male','1963-06-21'),
('Robert','THOMPSON','NH','38539','US','Male','1978-11-18'),
('Matthew','LOPEZ','VA','62281','US','Male','1971-12-24'),
('Michael','HARMON','AZ','84003','US','Male','1956-12-09'),
('Garrett','JACKSON','MI','71050','US','Male','1989-11-25'),
('Colin','CORDOVA','RI','78868','US','Male','1938-03-22'),
('Eric','JOHNSON','GA','98700','US','Male','1960-09-04'),
('Daniel','JOHNSON','PA','47387','US','Male','1921-10-30'),
